method,uniprot_id,seed,hyper
XGB_rdkit,Q8N4C8,1234,"[0.1, 0.1, 1, 5, 100, 1, 0.8]"
XGB_rdkit,Q15746,1240,"[0.1, 0.1, 3, 5, 100, 1, 1]"
XGB_rdkit,Q13163,1235,"[0.1, 0.1, 3, 5, 100, 0.8, 1]"
SVM_FP2,P27361,1232,"['auto', 100]"
SVM_FP2,P51617,1239,"[0.1, 100]"
DNN_AtomPairs_rdkit,Q13535,1238,"[0.2, [64], 0.001]"
DNN_AtomPairs_rdkit,P00523,1235,"[0.5, [256], 0.0001]"
DNN_AtomPairs_rdkit,P09769,1232,"[0.5, [512], 0.0001]"
Chemprop,O00311,1233,"[3, 0, 2, 400]"
Chemprop,O14730,1232,"[3, 0.05, 2, 400]"
Chemprop,O95835,1232,"[3, 0, 2, 300]"
Chemprop,P00533,1231,"[2, 0.05, 2, 300]"
Chemprop,P07332,1232,"[2, 0, 2, 400]"
Chemprop,P17612,1235,"[3, 0, 2, 400]"
Chemprop,P22607,1237,"[3, 0.05, 2, 400]"
Chemprop,P42680,1231,"[3, 0.05, 2, 400]"
Chemprop,P49761,1231,"[2, 0, 2, 400]"
Chemprop,P51451,1236,"[3, 0.05, 1, 300]"
Chemprop,P52564,1232,"[3, 0, 1, 400]"
Chemprop,P53667,1234,"[3, 0.05, 2, 400]"
Chemprop,P80192,1232,"[3, 0, 2, 300]"
Chemprop,Q13315,1231,"[2, 0, 1, 400]"
Chemprop,Q13418,1235,"[3, 0, 2, 300]"
Chemprop,Q13470,1231,"[3, 0.05, 2, 300]"
Chemprop,Q13705,1232,"[2, 0, 1, 300]"
Chemprop,Q14680,1233,"[3, 0, 1, 400]"
Chemprop,Q15349,1237,"[2, 0.05, 2, 400]"
Chemprop,Q15759,1234,"[2, 0, 1, 400]"
Chemprop,Q7KZI7,1231,"[2, 0.05, 2, 400]"
Chemprop,Q96PY6,1231,"[3, 0.05, 1, 400]"
Chemprop,Q99558,1231,"[3, 0.05, 2, 400]"
Chemprop,Q9NWZ3,1233,"[3, 0, 2, 400]"
Chemprop,Q9NYY3,1231,"[3, 0, 1, 400]"
Chemprop,Q9P0L2,1231,"[2, 0.05, 1, 400]"
Chemprop,Q9Y4K4,1231,"[2, 0, 2, 400]"
Chemprop,P49840,1231,"[3, 0, 2, 400]"
Chemprop,Q02750,1231,"[3, 0, 2, 400]"
Chemprop,Q9BWU1,1231,"[2, 0, 2, 300]"
Chemprop,Q9Y6M4,1231,"[3, 0.05, 2, 400]"
XGB_AtomPairs_rdkit,O96017,1233,"[ 0.1, 0.1, 1, 3, 100, 1, 0.8]"
XGB_AtomPairs_rdkit,O75460,1237,"[ 0.1, 0.1, 1, 5, 100, 1, 1]"
XGB_AtomPairs_rdkit,Q06418,1231,"[ 0.1, 0.1, 3, 5, 100, 1, 0.8]"
XGB_AtomPairs_rdkit,Q6PHR2,1231,"[ 0.1, 0.1, 3, 5, 100, 1, 1]"
XGB_AtomPairs_rdkit,P22455,1235,"[ 0.1, 0.1, 3, 5, 100, 1, 1]"
XGB_AtomPairs_rdkit,P10721,1232,"[ 0.1, 0.1, 1, 5, 100, 1, 1]"
XGB_AtomPairs_rdkit,P23443,1236,"[ 0.1, 0.1, 1, 3, 100, 0.8, 1]"
XGB_AtomPairs_rdkit,P54756,1236,"[ 0.1, 0.1, 1, 5, 100, 0.8, 1]"
DNN_AtomPairs,Q15120,1231,"[0.5, [512], 0.0001]"
DNN_AtomPairs,Q60751,1231,"[0.5, [512], 0.0001]"
DNN_AtomPairs,P07948,1232,"[0.5, [512], 0.001]"
DNN_PharamacoPFP,Q2M2I8,1232,"[0.1, [512], 0.01]"
DNN_PharamacoPFP,Q13131,1231,"[0.5, [256], 0.0001]"
RF_AtomPairs,O00141,1232,"[100, 'gini', 'nan', 5, 'auto']"
RF_AtomPairs,Q16832,1233,"[10, 'entropy', 'nan', 3, 'auto']"
RF_AtomPairs,P24941,1231,"[300, 'entropy', 'nan', 1, 'log2']"
RF_AtomPairs,P53779,1233,"[50, 'entropy', 15, 3, 'auto']"
RF_AtomPairs,P36888,1237,"[10, 'gini', 'nan', 1, 'log2']"
RF_AtomPairs,P36894,1231,"[500, 'gini', 15, 10, 'log2']"
RF_AtomPairs,P53350,1240,"[200, 'gini', 'nan', 1, 'log2']"
RF_AtomPairs,P43405,1233,"[100, 'entropy', 'nan', 1, 'sqrt']"
RF_AtomPairs,Q15118,1231,"[50, 'entropy', 15, 1, 'auto']"
RF_AtomPairs,P17948,1237,"[100, 'entropy', 15, 1, 'auto']"
RF_AtomPairs,P48736,1234,"[100, 'entropy', 'nan', 3, 'auto']"
RF_AtomPairs,P49841,1236,"[400, 'entropy', 'nan', 3, 'sqrt']"
RF_AtomPairs,P00519,1238,"[300, 'gini', 15, 1, 'sqrt']"
RF_AtomPairs,P04626,1236,"[100, 'entropy', 'nan', 1, 'log2']"
RF_AtomPairs,Q9Y572,1231,"[10, 'gini', 5, 1, 'log2']"
RF_AtomPairs,O00329,1238,"[50, 'entropy', 'nan', 3, 'sqrt']"
RF_AtomPairs,P42345,1233,"[100, 'entropy', 'nan', 1, 'auto']"
SVM_FP2_rdkit,Q00534,1234,"['auto', 10]"
SVM_FP2_rdkit,O94768,1232,"[0.1, 100]"
SVM_MACCS_rdkit,P21802,1234,"['auto', 100]"
SVM_MACCS_rdkit,P45985,1232,"[0.2, 100]"
XGB_Morgan,O75676,1231,"[ 0.1, 0.1, 3, 5, 100, 1, 1]"
XGB_Morgan,P49336,1237,"[ 0.1, 0.1, 3, 5, 100, 1, 1]"
XGB_Morgan,P41279,1233,"[ 0.05, 0.1, 1, 5, 100, 1, 0.8]"
XGB_Morgan,Q15119,1236,"[ 0.1, 0.1, 3, 5, 100, 0.8, 0.9]"
XGB_Morgan,P49137,1238,"[ 0.1, 0.1, 1, 5, 100, 0.8, 0.9]"
FPGNN,P04049,1232,[]
FPGNN,P68400,1231,[]
FPGNN,Q13043,1233,[]
FPGNN,Q08881,1231,[]
FPGNN,Q13153,1233,[]
FPGNN,Q13464,1233,[]
FPGNN,Q13627,1233,[]
FPGNN,Q14289,1231,[]
FPGNN,Q16620,1231,[]
FPGNN,Q5S007,1232,[]
FPGNN,Q96SB4,1233,[]
FPGNN,Q9BYT3,1232,[]
FPGNN,Q9H2K8,1233,[]
FPGNN,Q9NRP7,1231,[]
FPGNN,Q9Y463,1232,[]
FPGNN,Q07912,1232,[]
FPGNN,Q13976,1232,[]
FPGNN,P00517,1232,[]
FPGNN,P16234,1232,[]
FPGNN,P35916,1232,[]
FPGNN,P41743,1232,[]
FPGNN,P48730,1231,[]
FPGNN,P49674,1233,[]
FPGNN,P51813,1233,[]
FPGNN,P51955,1232,[]
XGB_MACCS_rdkit,Q02156,1235,"[ 0.1, 0.1, 1, 5, 100, 0.8, 0.8]"
KNN_FP2,P36507,1232,"[5, 2, 'distance']"
KNN_FP2,Q13164,1237,"[5, 2, 'distance']"
KNN_FP2,O60285,1232,"[5, 2, 'distance']"
RF_FP2_rdkit,P29597,1235,"[50, 'entropy', 10, 1, 'log2']"
RF_FP2_rdkit,P35968,1232,"[50, 'entropy', 'nan', 3, 'auto']"
RF_FP2_rdkit,P37173,1240,"[10, 'gini', 'nan', 1, 'auto']"
RF_FP2_rdkit,O00444,1239,"[10, 'entropy', 'nan', 10, 'log2']"
RF_FP2_rdkit,Q9H1R3,1231,"[500, 'entropy', 15, 5, 'auto']"
RF_FP2_rdkit,P42338,1232,"[100, 'entropy', 15, 1, 'log2']"
RF_FP2_rdkit,Q13188,1239,"[100, 'gini', 5, 1, 'auto']"
RF_FP2_rdkit,P11362,1240,"[500, 'entropy', 'nan', 1, 'log2']"
RF_FP2_rdkit,P12931,1235,"[400, 'entropy', 'nan', 3, 'auto']"
KNN_Morgan_rdkit,P51812,1231,"[5, 2, 'uniform']"
KNN_Morgan_rdkit,O94806,1240,"[5, 2, 'distance']"
KNN_Morgan_rdkit,Q9HCP0,1231,"[3, 2, 'distance']"
KNN_Morgan_rdkit,P08922,1231,"[2, 2, 'distance']"
RF_MACCS_rdkit,P16591,1233,"[10, 'gini', 15, 10, 'auto']"
RF_MACCS_rdkit,P29323,1232,"[50, 'gini', 'nan', 3, 'auto']"
RF_MACCS_rdkit,P53778,1233,"[100, 'entropy', 15, 5, 'auto']"
RF_MACCS_rdkit,Q8TDR2,1232,"[500, 'entropy', 5, 1, 'log2']"
RF_MACCS_rdkit,P05771,1235,"[10, 'gini', 'nan', 5, 'auto']"
XGB_PharmacoPFP_rdkit,O15111,1238,"[ 0.1, 0.1, 3, 5, 100, 0.8, 1]"
SVM_Morgan,P53671,1235,"['auto', 100]"
SVM_Morgan,Q12852,1231,"[0.1, 100]"
KNN_rdkit,P57059,1231,"[5, 2, 'distance']"
KNN_rdkit,P48729,1235,"[5, 1, 'distance']"
KNN_rdkit,Q13233,1231,"[1, 2, 'distance']"
KNN_rdkit,Q8IYT8,1231,"[5, 2, 'distance']"
KNN_rdkit,P46734,1231,"[5, 2, 'distance']"
KNN_rdkit,Q96NX5,1231,"[5, 2, 'distance']"
KNN_rdkit,Q9Y2K2,1232,"[5, 1, 'distance']"
KNN_rdkit,Q9HC98,1231,"[5, 2, 'distance']"
KNN_rdkit,Q9UPE1,1231,"[5, 2, 'distance']"
RF_AtomPairs_rdkit,P06240,1232,"[500, 'entropy', 15, 3, 'auto']"
RF_AtomPairs_rdkit,P04629,1231,"[100, 'entropy', 'nan', 1, 'auto']"
RF_AtomPairs_rdkit,P08631,1233,"[500, 'entropy', 15, 10, 'log2']"
RF_AtomPairs_rdkit,P06213,1233,"[100, 'gini', 'nan', 1, 'log2']"
RF_AtomPairs_rdkit,O75116,1236,"[500, 'entropy', 'nan', 1, 'auto']"
RF_AtomPairs_rdkit,P21860,1239,"[50, 'gini', 5, 1, 'log2']"
RF_AtomPairs_rdkit,O14965,1235,"[150, 'gini', 'nan', 1, 'log2']"
RF_AtomPairs_rdkit,P63319,1231,"[10, 'gini', 15, 3, 'log2']"
RF_AtomPairs_rdkit,O15530,1238,"[10, 'entropy', 10, 1, 'auto']"
RF_AtomPairs_rdkit,P30530,1235,"[150, 'gini', 'nan', 1, 'auto']"
NB_PharmacoPFP_rdkit,Q92918,1233,"[0.01, 0]"
NB_PharmacoPFP_rdkit,Q9P289,1240,"[0.01, 0.8]"
NB_PharmacoPFP_rdkit,P00520,1231,"[0.01, 0.8]"
Graph_GAT,O00506,1231,"[0.001, 0.0001, 32, 0.1]"
Graph_GAT,P41240,1231,"[0.001, 0.0001, 32, 0.1]"
Graph_GAT,Q00536,1231,"[0.001, 0.0001, 16, 0]"
Graph_GAT,Q8NE63,1231,"[0.001, 0.0001, 16, 0.3]"
Graph_GAT,Q9P2K8,1231,"[0.001, 0.0001, 32, 0.3]"
Graph_GAT,P50613,1233,"[0.001, 0.01, 32, 0]"
Graph_GAT,Q96RR4,1233,"[0.001, 0.0001, 32, 0]"
Graph_GAT,Q9UQB9,1233,"[0.001, 0.0001, 32, 0.3]"
SVM_AtomPairs,P43403,1235,"['auto', 1]"
SVM_AtomPairs,O43781,1232,"['auto', 100]"
SVM_AtomPairs,Q9H4B4,1233,"['auto', 100]"
SVM_AtomPairs,P06239,1239,"['auto', 10]"
RF_PharmacoPFP_rdkit,P47811,1233,"[500, 'entropy', 15, 10, 'auto']"
RF_PharmacoPFP_rdkit,O43293,1231,"[500, 'entropy', 15, 1, 'auto']"
RF_PharmacoPFP_rdkit,O94804,1238,"[500, 'entropy', 15, 1, 'auto']"
RF_PharmacoPFP_rdkit,P50750,1236,"[250, 'gini', 'nan', 1, 'auto']"
RF_PharmacoPFP_rdkit,P09619,1233,"[10, 'gini', 15, 1, 'auto']"
SVM_MACCS,Q16512,1232,"['auto', 10]"
SVM_MACCS,Q13557,1234,"[0.2, 100]"
DNN_FP2,Q15835,1231,"[0.5, [512], 0.0001]"
DNN_FP2,P05622,1232,"[0.2, [512], 0.01]"
RF_rdkit,Q64617,1236,"[10, 'entropy', 5, 1, 'auto']"
RF_rdkit,P54753,1233,"[10, 'entropy', 5, 3, 'sqrt']"
RF_rdkit,P53355,1231,"[100, 'entropy', 15, 10, 'auto']"
RF_rdkit,P09217,1236,"[10, 'entropy', 5, 1, 'auto']"
DNN_MACCS,P25098,1239,"[0.1, [256], 0.01]"
DNN_MACCS,P05129,1237,"[0.1, [256], 0.0001]"
NB_FP2,Q9BXA7,1231,"[0.01, 0.8]"
NB_MACCS_rdkit,Q99640,1232,"[0.01, 0.8]"
NB_MACCS_rdkit,P35590,1236,"[0.01, 0.8]"
NB_MACCS_rdkit,Q13177,1231,"[0.01, 0.8]"
NB_MACCS_rdkit,Q12851,1232,"[1, 0.8]"
Graph_GCN,Q9H093,1231,"[0.001, [256, 256], 0.001, 256]"
Graph_GCN,Q8NI60,1231,"[0.001, [256, 256], 0.0001, 256]"
Graph_GCN,Q8TD19,1231,"[0.001, [256, 256], 0.0001, 256]"
Graph_GCN,Q9Y6R4,1231,"[0.001, [256, 256], 0.0001, 256]"
Graph_GCN,Q9Y6E0,1231,"[0.001, [256, 256], 0.0001, 256]"
Graph_GCN,P05480,1231,"[0.001, [256, 256], 0.0001, 64]"
Graph_GCN,P10398,1231,"[0.001, [256, 256], 0.0001, 256]"
Graph_GCN,P11799,1231,"[0.001, [256, 256], 0.0001, 256]"
Graph_GCN,Q9UPZ9,1232,"[0.001, [256, 256], 0.0001, 128]"
Graph_GCN,Q8IW41,1232,"[0.001, [256, 256], 0.0001, 128]"
Graph_GCN,Q14004,1232,"[0.001, [256, 256], 0.0001, 256]"
Graph_GCN,O15075,1232,"[0.001, [256, 256], 0.001, 256]"
Graph_GCN,P07947,1232,"[0, [128, 128], 0.01, 128]"
Graph_GCN,P42681,1232,"[0.001, [256, 256], 0.001, 256]"
Graph_GCN,Q9BRS2,1231,"[0.001, [256, 256], 0.0001, 128]"
Graph_GCN,Q8WTQ7,1231,"[0.001, [256, 256], 0.0001, 128]"
Graph_GCN,Q9BVS4,1231,"[0.001, [256, 256], 0.0001, 256]"
Graph_GCN,Q99759,1231,"[0.001, [256, 256], 0.01, 64]"
Graph_GCN,Q13555,1231,"[0.001, [128, 128], 0.001, 128]"
Graph_GCN,P42684,1231,"[0.001, [256, 256], 0.01, 128]"
Graph_GCN,P54646,1231,"[0.001, [256, 256], 0.0001, 128]"
Graph_GCN,O00418,1233,"[1e-05, [64, 64], 0.001, 256]"
Graph_GCN,Q99683,1231,"[1e-05, [64, 64], 0.001, 128]"
Graph_GCN,Q9UM73,1232,"[0, [64, 64], 0.001, 128]"
Graph_GCN,P35918,1232,"[0.001, [256, 256], 0.001, 64]"
Graph_GCN,P33981,1231,"[1e-07, [128, 128], 0.0001, 128]"
Graph_GCN,P31751,1233,"[1e-05, [64, 64], 0.001, 128]"
Graph_GCN,Q12866,1233,"[0.001, [256, 256], 0.001, 256]"
Graph_GCN,O75385,1232,"[1e-07, [256, 256], 0.0001, 64]"
Graph_GCN,Q05513,1233,"[0, [64, 64], 0.001, 128]"
Graph_GCN,Q13546,1233,"[0, [256, 256], 0.01, 64]"
Graph_GCN,O14757,1233,"[1e-05, [64, 64], 0.001, 256]"
Graph_GCN,P45983,1232,"[0.001, [128, 128], 0.001, 128]"
Graph_GCN,O43318,1232,"[0, [64, 64], 0.001, 256]"
DNN_Morgan,Q00535,1240,"[ 0.2, [256], 0.001]"
DNN_Morgan,Q04759,1239,"[ 0.5, [128], 0.01]"
DNN_Morgan,Q15303,1235,"[ 0.5, [256], 0.0001]"
RF_Morgan_rdkit,P17252,1237,"[50, 'entropy', 'nan', 3, 'auto']"
RF_Morgan_rdkit,Q04771,1231,"[10, 'gini', 5, 1, 'auto']"
RF_Morgan_rdkit,P54760,1236,"[50, 'gini', 'nan', 3, 'auto']"
RF_Morgan_rdkit,P31749,1240,"[100, 'entropy', 'nan', 1, 'auto']"
RF_Morgan_rdkit,Q08345,1234,"[100, 'gini', 'nan', 1, 'log2']"
RF_Morgan_rdkit,Q9UL54,1232,"[500, 'entropy', 15, 10, 'auto']"
RF_Morgan_rdkit,Q9H2X6,1231,"[500, 'entropy', 15, 5, 'log2']"
RF_Morgan_rdkit,Q9UK32,1239,"[500, 'entropy', 15, 1, 'log2']"
RF_Morgan_rdkit,Q9P1W9,1236,"[250, 'entropy', 'nan', 1, 'log2']"
RF_Morgan_rdkit,P11802,1231,"[50, 'entropy', 'nan', 1, 'log2']"
KNN_PharmacoPFP,P32298,1231,"[5, 2, 'distance']"
KNN_PharmacoPFP,Q9BQI3,1231,"[5, 1, 'distance']"
KNN_PharmacoPFP,P04409,1231,"[5, 2, 'uniform']"
KNN_PharmacoPFP_rdkit,Q92630,1233,"[3, 2, 'uniform']"
KNN_PharmacoPFP_rdkit,O14578,1239,"[5, 1, 'uniform']"
NB_rdkit,P29322,1232,"[0.01, 0]"
NB_rdkit,P21709,1232,"[0.01, 0.5]"
NB_rdkit,Q15375,1236,"[0.01, 0.5]"
NB_rdkit,Q16566,1231,"[0.01, 0.8]"
NB_rdkit,P54764,1235,"[0.01, 0.5]"
NB_rdkit,Q8N5S9,1231,"[0.01, 0.8]"
NB_rdkit,Q56UN5,1239,"[0.1, 0]"
NB_rdkit,Q9NSY1,1239,"[0.01, 0.5]"
NB_rdkit,Q9Y2U5,1236,"[0.01, 0.5]"
NB_rdkit,Q9H3Y6,1231,"[0.01, 0.8]"
NB_rdkit,Q8IVH8,1235,"[0.01, 0.5]"
NB_rdkit,Q9C098,1231,"[0.01, 0.8]"
NB_rdkit,Q9NQU5,1231,"[0.01, 0.8]"
NB_rdkit,O75914,1232,"[0.01, 0.8]"
XGB_FP2_rdkit,Q9H2G2,1233,"[ 0.05, 0.1, 1, 5, 100, 0.8, 0.8]"
XGB_FP2_rdkit,Q05655,1239,"[ 0.05, 0.1, 3, 5, 100, 0.8, 0.9]"
XGB_FP2_rdkit,P11309,1239,"[ 0.1, 0, 1, 5, 100, 0.8, 1]"
NB_PharmacoPFP,Q9UBE8,1232,"[0.01, 0.8]"
SVM_PharmacoPFP,P54762,1235,"[0.2, 100]"
SVM_PharmacoPFP,Q9NRM7,1231,"['auto', 100]"
SVM_AtomPairs_rdkit,P36896,1236,"['auto', 100]"
SVM_AtomPairs_rdkit,Q59H18,1238,"['auto', 100]"
SVM_AtomPairs_rdkit,Q15139,1236,"['auto', 100]"
RF_Morgan,P43250,1232,"[500, 'entropy', 10, 3, 'log2']"
RF_Morgan,P36897,1238,"[150, 'entropy', 'nan', 1, 'auto']"
RF_Morgan,Q16584,1237,"[150, 'gini', 10, 10, 'auto']"
RF_Morgan,Q9BUB5,1240,"[150, 'gini', 'nan', 1, 'log2']"
RF_Morgan,P42336,1237,"[500, 'entropy', 'nan', 3, 'auto']"
RF_Morgan,P06493,1236,"[500, 'entropy', 'nan', 1, 'log2']"
RF_Morgan,P23458,1236,"[250, 'entropy', 'nan', 1, 'log2']"
RF_Morgan,O60674,1238,"[500, 'entropy', 15, 1, 'auto']"
DNN_PharamacoPFP_rdkit,P24723,1240,"[0.1, [512], 0.001]"
DNN_PharamacoPFP_rdkit,Q9UKE5,1235,"[0.5, [256], 0.01]"
DNN_PharamacoPFP_rdkit,Q8IU85,1232,"[0.5, [512], 0.0001]"
DNN_PharamacoPFP_rdkit,Q96KB5,1239,"[0.2, [128], 0.01]"
Graph_AttentiveFP,O43353,1231,"[0, 100, 1, 4, 0.001, 0]"
Graph_AttentiveFP,Q00526,1231,"[0.5, 100, 2, 2, 0.001, 0]"
Graph_AttentiveFP,Q16513,1231,"[0.5, 100, 2, 2, 0.0001, 0.1]"
Graph_AttentiveFP,Q16539,1231,"[0.5, 200, 3, 4, 0.0001, 0.1]"
Graph_AttentiveFP,O00238,1232,"[0.1, 200, 2, 2, 0.01, 0.1]"
Graph_AttentiveFP,Q9Y616,1232,"[0.5, 200, 3, 2, 0.01, 0.001]"
Graph_AttentiveFP,Q8TD08,1232,"[0.5, 200, 3, 4, 0.0001, 0.1]"
Graph_AttentiveFP,Q8TF76,1232,"[0.5, 200, 3, 4, 0.0001, 0.1]"
Graph_AttentiveFP,Q9NYL2,1232,"[0.5, 200, 3, 2, 0.01, 0]"
Graph_AttentiveFP,Q13882,1232,"[0.1, 100, 1, 2, 0.01, 0.001]"
Graph_AttentiveFP,O14976,1233,"[0.1, 200, 3, 2, 0.01, 0.001]"
Graph_AttentiveFP,Q5VT25,1233,"[0.5, 200, 3, 2, 0.01, 0.1]"
DNN_FP2_rdkit,P78368,1231,"[ 0.2, [512], 0.0001]"
DNN_FP2_rdkit,P35969,1231,"[ 0.5, [512], 0.0001]"
DNN_FP2_rdkit,Q9Y243,1231,"[ 0.5, [256], 0.0001]"
DNN_FP2_rdkit,P06241,1233,"[ 0.1, [512], 0.01]"
KNN_MACCS_rdkit,P21803,1232,"[5, 2, 'distance']"
KNN_MACCS_rdkit,Q15569,1232,"[5, 2, 'uniform']"
KNN_MACCS_rdkit,Q00537,1231,"[5, 2, 'uniform']"
KNN_MACCS_rdkit,O94921,1231,"[5, 2, 'distance']"
KNN_Morgan,Q9HAZ1,1238,"[5, 2, 'uniform']"
KNN_Morgan,Q9H422,1231,"[5, 2, 'distance']"
KNN_Morgan,Q9UQM7,1231,"[2, 2, 'distance']"
KNN_Morgan,Q9WUD9,1231,"[5, 2, 'distance']"
NB_FP2_rdkit,Q04912,1232,"[0.01, 0.8]"
RF_PharmacoPFP,O75716,1232,"[500, 'entropy', 15, 5, 'auto']"
SVM_Morgan_rdkit,P30291,1232,"['auto', 100]"
SVM_Morgan_rdkit,P45984,1234,"[0.1, 100]"
KNN_FP2_rdkit,Q01279,1231,"[5, 2, 'distance']"
RF_FP2,O14920,1233,"[100, 'gini', 15, 3, 'auto']"
RF_FP2,P19784,1236,"[500, 'entropy', 15, 5, 'log2']"
RF_FP2,P37023,1231,"[500, 'entropy', 15, 3, 'auto']"
RF_FP2,Q06187,1234,"[200, 'entropy', 15, 1, 'log2']"
RF_FP2,Q16816,1234,"[50, 'entropy', 10, 5, 'auto']"
RF_FP2,P07333,1238,"[400, 'entropy', 10, 5, 'auto']"
NB_AtomPairs,Q14012,1231,"[0.01, 0.8]"
SVM_rdkit,P42685,1236,"['auto', 100]"
SVM_rdkit,Q13873,1232,"[0.2, 10]"
SVM_rdkit,Q9UF33,1232,"[0.2, 100]"
XGB_AtomPairs,P08581,1240,"[ 0.1, 0.1, 1, 5, 100, 0.8, 0.8]"
XGB_AtomPairs,O95819,1240,"[ 0.1, 0, 1, 3, 100, 1, 1]"
XGB_AtomPairs,Q05397,1237,"[ 0.1, 0, 1, 3, 100, 1, 1]"
XGB_AtomPairs,Q02763,1231,"[ 0.1, 0, 1, 5, 100, 0.8, 0.8]"
XGB_AtomPairs,Q9UHD2,1236,"[ 0.1, 0.1, 1, 3, 100, 0.8, 0.8]"
XGB_AtomPairs,P07949,1238,"[ 0.1, 0.1, 1, 5, 100, 1, 0.8]"
XGB_AtomPairs,Q96GD4,1235,"[ 0.1, 0.1, 1, 5, 100, 1, 0.8]"
XGB_AtomPairs,P29317,1232,"[ 0.1, 0.1, 3, 5, 100, 1, 0.8]"
XGB_AtomPairs,P49759,1239,"[ 0.1, 0, 3, 3, 100, 1, 0.8]"
DNN_MACCS_rdkit,P70618,1231,"[0.5, [512], 0.0001]"
